vocabulary,meaning,IPA,book,author
perdition,"1. Entire loss; utter destruction; ruin; esp., the utter loss of the soul, or of final happiness in a future state; future misery or eternal death. The mere perdition of the Turkish fleet. Shak. If we reject the truth, we seal our own perdition. J. M. Mason. 2. Loss of diminution. [Obs.] Shak.",perdition*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
sangfroid,冷静的,sangfroid*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
hawser,"A large rope made of three strands each containing many yarns. Note: Three hawsers twisted together make a cable; but it nautical usage the distinction between cable and hawser is often one of size rather than of manufacture. Hawser iron, a calking iron.",hawsers*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
pommel,"A knob or ball; an object resembling a ball in form; as: (a) The knob on the hilt of a sword. Macaulay. (b) The knob or protuberant part of a saddlebow. (c) The top (of the head). Chaucer. (d) A knob forming the finial of a turret or pavilion.

To beat soundly, as with the pommel of a sword, or with something knoblike; hence, to beat with the fists. [Written also pummel.]",ˈpɑməl,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
dressing down,斥责,ˈdrɛsɪŋ daʊn,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
spree,"A merry frolic; especially, a drinking frolic; a carousal. [Colloq.]",spri,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
hullabaloo,A confused noise; uproar; tumult. [Colloq.] Thackeray.,ˌhələbəˈlu,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
execrable,"Deserving to be execrated; accursed; damnable; detestable; abominable; as, an execrable wretch. ""Execrable pride."" Hooker. -- Ex""e*cra*ble*ness, n. -- Ex""e*cra*bly, adv.",ˌɛgˈzɛkrəbəl,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
bloodcurdling,令人毛骨悚然,bloodcurdling*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
phaeton,"1. A four-wheeled carriage (with or without a top), open, or having no side pieces, in front of the seat. It is drawn by one or two horses. 2. See Phaëthon. 3. (Zoöl.)  A handsome American butterfly (Euphydryas, or Melitæa, Phaëton). The upper side of the wings is black, with orange-red spots and marginal crescents, and several rows of cream-colored spots; -- called also Baltimore.",phaetons*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
puce,Of a dark brown or brownish purple color.,puce*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
tantrum,"A whim, or burst of ill-humor; an affected air. [Colloq.] Thackeray.",ˈtæntrəmz,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
ferret,"An animal of the Weasel family (Mustela or Putorius furo), about fourteen inches in length, of a pale yellow or white color, with red eyes. It is a native of Africa, but has been domesticated in Europe. Ferrets are used to drive rabbits and rats out of their holes.

To drive or hunt out of a lurking place, as a ferret does the cony; to search out by patient and sagacious efforts; -- often used with out; as, to ferret out a secret. Master Fer! I'll fer him, and firk him, and ferret him. Shak.

A kind of narrow tape, usually made of woolen; sometimes of cotton or silk; -- called also ferreting.

The iron used for trying the melted glass to see if is fit to work, and for shaping the rings at the mouths of bottles.",ˈfɛrət,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
smarted,聪明的,sˈmɑrtəd,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
polemicist,A polemic. [R.],polemicists*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
mull,"A thin, soft kind of muslin.

1. A promontory; as, the Mull of Cantyre. [Scot.] 2. A snuffbox made of the small end of a horn.

Dirt; rubbish. [Obs.] Gower.

To powder; to pulverize. [Prov. Eng.]

To work (over) mentally; to cogitate; to ruminate; -- usually with over; as, to mull over a thought or a problem. [Colloq. U.S.]

An inferior kind of madder prepared from the smaller roots or the peelings and refuse of the larger.

1. To heat, sweeten, and enrich with spices; as, to mull wine. New cider, mulled with ginger warm. Gay. 2. To dispirit or deaden; to dull or blunt. Shak.",məl,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
forfend,To prohibit; to forbid; to avert. [Archaic] Which peril heaven forefend! Shak. Note: This is etymologically the preferable spelling.,forfend*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
brouhaha,骚哈哈,ˈbruhɑˌhɑ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
mannequin,人体模型,ˈmænəkɪn,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
disobliging,"1. Not obliging; not disposed to do a favor; unaccommodating; as, a disobliging person or act. 2. Displeasing; offensive. [Obs.] Cov. of Tongue. -- Dis`o*bli""ging*ly, adv. -- Dis`o*bli""ging*ness, n.",disobliging*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
scarecrow,"1. Anything set up to frighten crows or other birds from cornfields; hence, anything terifying without danger. A scarecrow set to frighten fools away. Dryden. 2. A person clad in rags and tatters. No eye hath seen such scarecrows. I'll not march with them through Coventry, that's flat. Shak. 3. (Zoöl.)  The black tern. [Prov. Eng.]",ˈskærˌkroʊ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
serried,Crowded; compact; dense; pressed together. Nor seemed it to relax their serried files. Milton.,serried*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
rearguard,后卫,rearguard*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
melee,A fight in which the combatants are mingled,ˈmeɪˌleɪ,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
chime,"See Chine, n., 3.

1. The harmonious sound of bells, or of musical instruments. Instruments that made melodius chime. Milton. 2. A set of bells musically tuned to each other; specif., in the pl., the music performed on such a set of bells by hand, or produced by mechanism to accompany the striking of the hours or their divisions. We have heard the chimes at midnight. Shak. 3. Pleasing correspondence of proportion, relation, or sound. ""Chimes of verse."" Cowley.

1. To sound in harmonious accord, as bells. 2. To be in harmony; to agree; to sut; to harmonize; to correspond; to fall in with. Everything chimed in with such a humor. W. irving. 3. To join in a conversation; to express assent; -- followed by in or in with. [Colloq.] 4. To make a rude correspondence of sounds; to jingle, as in rhyming. Cowley

1. To cause to sound in harmony; to play a tune, as upon a set of bells; to move or strike in harmony. And chime their sounding hammers. Dryden. 2. To utter harmoniously; to recite rhythmically. Chime his childish verse. Byron.",ʧaɪm,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
conversazione,"A meeting or assembly for conversation, particularly on literary or scientific subjects. Gray. These conversazioni [at Florence] resemble our card assemblies. A. Drummond.",conversazione*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
dandelion,"A well-known plant of the genus Taraxacum (T. officinale, formerly called T. Dens-leonis and Leontodos Taraxacum) bearing large, yellow, compound flowers, and deeply notched leaves.",ˈdændəˌlaɪən,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
meniscus,"1. A crescent. 2. (Opt.)  A lens convex on one side and concave on the other. 3. (Anat.)  An interarticular synovial cartilage or membrane; esp., one of the intervertebral synovial disks in some parts of the vertebral column of birds. Converging meniscus, Diverging meniscus. See Lens.",meniscus*,A Little Life,Hanya Yanagihara
lout,"To bend; to box; to stoop. [Archaic] Chaucer. Longfellow. He fair the knight saluted, louting low. Spenser.

A clownish, awkward fellow; a bumpkin. Sir P. Sidney.

To treat as a lout or fool; to neglect; to disappoint. [Obs.] Shak.",laʊt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
disservice,Injury; mischief. We shall rather perform good offices unto truth than any disservice unto their relators. Sir T. Browne.,dɪˈsərvəs,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
in my dotage,在我的溺爱中,ɪn maɪ dotage*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
squib,"1. A little pipe, or hollow cylinder of paper, filled with powder or combustible matter, to be thrown into the air while burning, so as to burst there with a crack. Lampoons, like squibs, may make a present blaze. Waller. The making and selling of fireworks, and squibs . . . is punishable. Blackstone. 2. (Mining)  A kind of slow match or safety fuse. 3. A sarcastic speech or publication; a petty lampoon; a brief, witty essay. Who copied his squibs, and reëchoed his jokes. Goldsmith. 4. A writer of lampoons. [Obs.] The squibs are those who in the common phrase of the world are called libelers, lampooners, and pamphleteers. Tatler. 5. A paltry fellow. [Obs.] Spenser.

To throw squibs; to utter sarcatic or severe reflections; to contend in petty dispute; as, to squib a little debate. [Colloq.]",squib*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
amour propre,Self-love; self-esteem.,ˌɑˈmur propre*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
bankrolled,资助的,ˈbæŋˌkroʊld,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
pomade,"1. Cider. [Obs.] Piers Plowman. 2. Perfumed ointment; esp., a fragrant unguent for the hair; pomatum; -- originally made from apples.",pomade*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
fetid,Having an offensive smell; stinking. Most putrefactions . . . smell either fetid or moldy. Bacon.,ˈfɛtəd,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
windfall,"1. Anything blown down or off by the wind, as fruit from a tree, or the tree itself, or a portion of a forest prostrated by a violent wind, etc. ""They became a windfall upon the sudden."" Bacon. 2. An unexpected legacy, or other gain. He had a mighty windfall out of doubt. B. Jonson.",ˈwɪndˌfɔl,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
stature,The natural height of an animal body; -- generally used of the human body. Foreign men of mighty stature came. Dryden.,ˈstæʧər,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
stillbirth,The birth of a dead fetus.,stillbirths*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
trousseau,"The collective lighter equipments or outfit of a bride, including clothes, jewelry, and the like; especially, that which is provided for her by her family.",trousseau*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
capered,跳跃的,capered*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
seamstress,A woman whose occupation is sewing; a needlewoman.,ˈsimstrɪs,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
whippet,惠比特犬,whippet*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
clomped,拥挤的,clomped*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
