vocabulary,meaning,IPA,book,author
perdition,灭亡,perdition*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
sangfroid,冷静的,sangfroid*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
hawsers,锚链,hawsers*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
pommel,鞍头,ˈpɑməl,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
dressing down,斥责,ˈdrɛsɪŋ daʊn,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
spree,狂欢,spri,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
hullabaloo,喧嚣,ˌhələbəˈlu,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
execrable,可恶的,ˌɛgˈzɛkrəbəl,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
bloodcurdling,令人毛骨悚然,bloodcurdling*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
phaetons,敞篷车,phaetons*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
puce,芯片,puce*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
tantrums,发脾气,ˈtæntrəmz,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
ferret,雪貂,ˈfɛrət,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
smarted,聪明的,sˈmɑrtəd,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
polemicists,辩论家,polemicists*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
mull,仔细考虑,məl,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
forfend,祖先,forfend*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
brouhaha,骚哈哈,ˈbruhɑˌhɑ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
mannequin,人体模型,ˈmænəkɪn,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
disobliging,无礼的,disobliging*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
scarecrow,稻草人,ˈskærˌkroʊ,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
serried,紧张的,serried*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
rearguard,后卫,rearguard*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
melee,混战,ˈmeɪˌleɪ,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
chime,钟声,ʧaɪm,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
conversazione,对话,conversazione*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
dandelion,蒲公英,ˈdændəˌlaɪən,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
meniscus,半月板,meniscus*,A Little Life,Hanya Yanagihara
lout,鲁特,laʊt,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
disservice,伤害,dɪˈsərvəs,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
in my dotage,在我的溺爱中,ɪn maɪ dotage*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
squib,爆管,squib*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
amour propre,自尊,ˌɑˈmur propre*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
bankrolled,资助的,ˈbæŋˌkroʊld,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
pomade,头油,pomade*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
fetid,恶臭的,ˈfɛtəd,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
windfall,横财,ˈwɪndˌfɔl,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
stature,身材,ˈstæʧər,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
stillbirths,死产,stillbirths*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
trousseau,嫁妆,trousseau*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
capered,跳跃的,capered*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
seamstress,女裁缝,ˈsimstrɪs,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
whippet,惠比特犬,whippet*,A Gentleman&#39;s Position (Society of Gentlemen),"Charles, K.J."
clomped,拥挤的,clomped*,A Fashionable Indulgence: A Society of Gentlemen Novel (Society of Gentlemen Series Book 1),KJ Charles
